group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day5-part1,part1-2000,,,,61862434.0,ns,5
day5-part1,part1-2000,,,,61080474.0,ns,5
day5-part1,part1-2000,,,,61501864.0,ns,5
day5-part1,part1-2000,,,,61464784.0,ns,5
day5-part1,part1-2000,,,,61859245.0,ns,5
day5-part1,part1-2000,,,,61331344.0,ns,5
day5-part1,part1-2000,,,,61341024.0,ns,5
day5-part1,part1-2000,,,,61254854.0,ns,5
day5-part1,part1-2000,,,,61407994.0,ns,5
day5-part1,part1-2000,,,,61171335.0,ns,5
day5-part1,part1-2000,,,,61343984.0,ns,5
day5-part1,part1-2000,,,,61344894.0,ns,5
day5-part1,part1-2000,,,,61256724.0,ns,5
day5-part1,part1-2000,,,,61216425.0,ns,5
day5-part1,part1-2000,,,,61575774.0,ns,5
day5-part1,part1-2000,,,,61374804.0,ns,5
day5-part1,part1-2000,,,,61634104.0,ns,5
day5-part1,part1-2000,,,,61465624.0,ns,5
day5-part1,part1-2000,,,,61409195.0,ns,5
day5-part1,part1-2000,,,,61403444.0,ns,5
day5-part1,part1-2000,,,,61424924.0,ns,5
day5-part1,part1-2000,,,,61204514.0,ns,5
day5-part1,part1-2000,,,,61625404.0,ns,5
day5-part1,part1-2000,,,,61223254.0,ns,5
day5-part1,part1-2000,,,,61409504.0,ns,5
day5-part1,part1-2000,,,,61354344.0,ns,5
day5-part1,part1-2000,,,,61710134.0,ns,5
day5-part1,part1-2000,,,,61275534.0,ns,5
day5-part1,part1-2000,,,,61813155.0,ns,5
day5-part1,part1-2000,,,,62061444.0,ns,5
day5-part1,part1-2000,,,,61615004.0,ns,5
day5-part1,part1-2000,,,,61903684.0,ns,5
day5-part1,part1-2000,,,,66318962.0,ns,5
day5-part1,part1-2000,,,,61909914.0,ns,5
day5-part1,part1-2000,,,,61648643.0,ns,5
day5-part1,part1-2000,,,,62173384.0,ns,5
day5-part1,part1-2000,,,,61794615.0,ns,5
day5-part1,part1-2000,,,,61953384.0,ns,5
day5-part1,part1-2000,,,,61897223.0,ns,5
day5-part1,part1-2000,,,,61816214.0,ns,5
day5-part1,part1-2000,,,,61885994.0,ns,5
day5-part1,part1-2000,,,,61968334.0,ns,5
day5-part1,part1-2000,,,,61929184.0,ns,5
day5-part1,part1-2000,,,,62014164.0,ns,5
day5-part1,part1-2000,,,,61875294.0,ns,5
day5-part1,part1-2000,,,,61883164.0,ns,5
day5-part1,part1-2000,,,,61939614.0,ns,5
day5-part1,part1-2000,,,,62143213.0,ns,5
day5-part1,part1-2000,,,,62124174.0,ns,5
day5-part1,part1-2000,,,,62174924.0,ns,5
day5-part1,part1-2000,,,,61814424.0,ns,5
day5-part1,part1-2000,,,,62013584.0,ns,5
day5-part1,part1-2000,,,,62090174.0,ns,5
day5-part1,part1-2000,,,,62026814.0,ns,5
day5-part1,part1-2000,,,,61961684.0,ns,5
day5-part1,part1-2000,,,,61966923.0,ns,5
day5-part1,part1-2000,,,,61961404.0,ns,5
day5-part1,part1-2000,,,,61840174.0,ns,5
day5-part1,part1-2000,,,,61979185.0,ns,5
day5-part1,part1-2000,,,,62899813.0,ns,5
day5-part1,part1-2000,,,,61615604.0,ns,5
day5-part1,part1-2000,,,,62000494.0,ns,5
day5-part1,part1-2000,,,,62008214.0,ns,5
day5-part1,part1-2000,,,,62179563.0,ns,5
day5-part1,part1-2000,,,,61910394.0,ns,5
day5-part1,part1-2000,,,,66049412.0,ns,5
day5-part1,part1-2000,,,,61803554.0,ns,5
day5-part1,part1-2000,,,,61631674.0,ns,5
day5-part1,part1-2000,,,,61922774.0,ns,5
day5-part1,part1-2000,,,,61847564.0,ns,5
day5-part1,part1-2000,,,,61863664.0,ns,5
day5-part1,part1-2000,,,,61954364.0,ns,5
day5-part1,part1-2000,,,,61634114.0,ns,5
day5-part1,part1-2000,,,,61878284.0,ns,5
day5-part1,part1-2000,,,,61732014.0,ns,5
day5-part1,part1-2000,,,,61994774.0,ns,5
day5-part1,part1-2000,,,,61642424.0,ns,5
day5-part1,part1-2000,,,,61667203.0,ns,5
day5-part1,part1-2000,,,,61919265.0,ns,5
day5-part1,part1-2000,,,,61869934.0,ns,5
day5-part1,part1-2000,,,,61817064.0,ns,5
day5-part1,part1-2000,,,,61735044.0,ns,5
day5-part1,part1-2000,,,,61902433.0,ns,5
day5-part1,part1-2000,,,,61803204.0,ns,5
day5-part1,part1-2000,,,,62701074.0,ns,5
day5-part1,part1-2000,,,,61822394.0,ns,5
day5-part1,part1-2000,,,,62016843.0,ns,5
day5-part1,part1-2000,,,,61570094.0,ns,5
day5-part1,part1-2000,,,,61669384.0,ns,5
day5-part1,part1-2000,,,,61707924.0,ns,5
day5-part1,part1-2000,,,,61757374.0,ns,5
day5-part1,part1-2000,,,,61633334.0,ns,5
day5-part1,part1-2000,,,,61790895.0,ns,5
day5-part1,part1-2000,,,,61452754.0,ns,5
day5-part1,part1-2000,,,,61605454.0,ns,5
day5-part1,part1-2000,,,,61743933.0,ns,5
day5-part1,part1-2000,,,,61621994.0,ns,5
day5-part1,part1-2000,,,,61582704.0,ns,5
day5-part1,part1-2000,,,,65696153.0,ns,5
day5-part1,part1-2000,,,,61619004.0,ns,5
